# pyIrena / Irena validation dataset: modeling_mass_fractal
# tool          : Modeling
# model         : Mass-fractal aggregate of spherical primary particles (Teixeira 1988)
# equation      : I(Q) = phi*contrast*1e-4*V*[bracket*S_f(Q)+(1-eta)^2]*F_sph^2(QR) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop_type                   = mass_fractal   [-]
#   Phi                        = 0.005          [-]
#   Radius                     = 40             [A]
#   Dv                         = 2.4            [-]   mass fractal dimension
#   Ksi                        = 800            [A]   aggregate correlation length
#   Eta                        = 0.5            [-]   packing term
#   Beta                       = 1              [-]   aspect ratio (sphere)
#   Contrast                   = 100            [1e20 cm^-4]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 24414.7, seed = 2358675931
#   median rel. error = 0.01003, max = 0.06472
# 
# Q range       : 0.0003 to 0.3 1/A, 400 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
8.47713451e-02  2.10673187e-01
8.62517412e-02  1.83680059e-01
8.77579901e-02  1.58810552e-01
8.92905432e-02  1.36054891e-01
9.08498600e-02  1.15394250e-01
9.24364077e-02  9.68001683e-02
9.40506619e-02  8.02340625e-02
9.56931065e-02  6.56468420e-02
9.73642337e-02  5.29786415e-02
9.90645445e-02  4.21586929e-02
1.00794549e-01  3.31053516e-02
1.02554764e-01  2.57262927e-02
1.04345720e-01  1.99188911e-02
1.06167951e-01  1.55707994e-02
1.08022005e-01  1.25607304e-02
1.09908436e-01  1.07594535e-02
1.11827812e-01  1.00310039e-02
1.13780706e-01  1.02341040e-02
1.15767704e-01  1.12237867e-02
1.17789402e-01  1.28532066e-02
1.19846406e-01  1.49756164e-02
1.21939332e-01  1.74464802e-02
1.24068808e-01  2.01256847e-02
1.26235471e-01  2.28798061e-02
1.28439972e-01  2.55843788e-02
1.30682971e-01  2.81261062e-02
1.32965140e-01  3.04049509e-02
1.35287164e-01  3.23360316e-02
1.37649738e-01  3.38512566e-02
1.40053571e-01  3.49006203e-02
1.42499383e-01  3.54530919e-02
1.44987907e-01  3.54970331e-02
1.47519889e-01  3.50400879e-02
1.50096089e-01  3.41085033e-02
1.52717277e-01  3.27458556e-02
1.55384240e-01  3.10111782e-02
1.58097778e-01  2.89765111e-02
1.60858703e-01  2.67239194e-02
1.63667843e-01  2.43420588e-02
1.66526041e-01  2.19223931e-02
1.69434152e-01  1.95552021e-02
1.72393049e-01  1.73255393e-02
1.75403618e-01  1.53093241e-02
1.78466762e-01  1.35697669e-02
1.81583399e-01  1.21543258e-02
1.84754463e-01  1.10923938e-02
1.87980905e-01  1.03938869e-02
1.91263691e-01  1.00488768e-02
1.94603806e-01  1.00283554e-02
1.98002251e-01  1.02861615e-02
2.01460044e-01  1.07620217e-02
2.04978222e-01  1.13855790e-02
2.08557839e-01  1.20811964e-02
2.12199968e-01  1.27732449e-02
2.15905702e-01  1.33915169e-02
2.19676150e-01  1.38763602e-02
2.23512443e-01  1.41831065e-02
2.27415731e-01  1.42853875e-02
2.31387184e-01  1.41769866e-02
2.35427991e-01  1.38719724e-02
2.39539365e-01  1.34029984e-02
2.43722537e-01  1.28178208e-02
